egyn/amaymon, 1572, 1760
agares/marbas/pruflas/lucifer/bael/eligos/purson/amon/naberius, 1400, 1821
barbatos/gusion/botis/leraje/marax/buer/valefar/bathin, 1577, 1821
satanakia, 1760, 1821
mammon/belial, 1531, 1801
phenex/zagan/gremory/furfur/crocell/ose/sitri/ipos/flauros/foras/stolas/andrealphus/marchosias, 1400, 1641
beelzebub, 200, 1817
oriens/satan/paimon, 1400, 1760
asmoday, 200, 1801
berith, 1577, 1760
orias, 200, 1641
vepar/sabnock/camio/vine/malphas/andras/ronove/gaap/bune/haagenti/shax/decarabia/bifrons/glasya-labolas/amy/vual/vapula/allocer/kimaris/halphas/valac/orobas/focalor/beleth/aim/amdusias/murmur/balam/sallos/raum/furcas/gamigin/forneus, 1577, 1641
vassago, 1577, 1655
astaroth, 1400, 1817
